month,Chon Buri,Kanchanaburi,Phra Nakhon Si Ayutthaya,Phetchaburi,Chiang Mai,Phitsanulok,Nakhon Ratchasima,Khon Kaen,Krabi,Songkhla
jan 13,885442,196592,85242,181824,524450,144878,318544,121897,236649,309456
feb 13,802819,189505,78253,209983,477583,139451,260098,113972,345200,290112
mar 13,849641,188037,93283,156932,482622,145105,266290,115850,306596,259827
apr 13,937368,172840,64383,212901,482390,126765,330902,120584,271928,363421
may 13,867671,179055,71180,198307,397751,111909,321674,114938,260043,294966
jun 13,827787,156818,57884,155159,359539,109792,281768,107868,255456,272740
jul 13,726830,146693,54457,195005,420804,107882,305345,131145,246192,277094
aug 13,730522,143579,52310,190497,355760,129653,305809,129597,208055,294369
sep 13,709444,157488,52198,172210,312985,118471,275835,112956,189621,277349
oct 13,774620,184263,70670,217321,510775,137261,322174,92394,245952,369893
nov 13,792197,198701,62206,179779,510661,133823,317227,97421,247985,370398
dec 13,837002,215656,65743,242175,506185,146388,324104,94146,380992,367422
jan 14,767871,218810,104888,200260,641534,154545,343066,125683,268978,332081
feb 14,697764,199291,82280,228528,649661,149360,283562,118062,387668,298683
mar 14,714622,186248,87671,177968,635692,146832,271534,119349,322472,288275
apr 14,781117,182827,75073,219485,548427,133890,358383,123314,277321,387549
may 14,774143,181871,70576,202504,480243,116846,324243,119609,265411,323178
jun 14,698875,154749,60603,157828,415638,114623,305433,112848,255123,286413
jul 14,708454,148572,60924,201916,534107,107754,310888,127819,205642,287429
aug 14,698204,158373,56351,215858,470381,134331,317124,128990,204124,312817
sep 14,556011,163473,57898,165963,431262,123252,304260,117786,198779,333446
oct 14,859572,194354,65522,211353,533220,137413,347268,97734,256725,385823
nov 14,793130,206483,78717,200975,584690,138285,339937,102282,270477,392174
dec 14,773614,215372,79850,274039,680058,146808,345768,96179,401683,391532
jan 15,814658,263390,98234,213379,711041,165857,392737,129892,262738,350932
feb 15,748300,239455,86277,238882,678112,152939,339757,121077,408740,324048
mar 15,767609,231416,100168,184820,669895,152975,331448,135651,342647,324703
apr 15,848098,218868,82091,224641,592083,145112,386768,128929,314452,428767
may 15,831630,211711,77643,208406,521367,128318,353634,122929,283017,379754
jun 15,771044,177744,68516,175949,474850,123032,339461,120471,234639,300364
jul 15,764155,190900,68346,209278,572355,113625,342730,134797,218084,308901
aug 15,747026,184468,70597,221941,504764,140684,350489,136288,220113,336669
sep 15,603776,187650,64533,178423,458167,131088,345620,126217,215351,358488
oct 15,924523,235697,72339,224120,565995,137437,384259,102001,275961,412419
nov 15,856489,262751,79985,210544,636286,145510,368433,102495,286639,418403
dec 15,837998,266713,89014,279176,724123,157312,385863,101676,419805,431752
jan 16,1205995,278530,106218,219893,733147,176206,420611,169370,268789,369054
feb 16,1109713,255702,93866,247039,686847,157131,366563,159356,418539,332749
mar 16,1115976,246091,97891,189209,659902,157675,356568,178612,360346,333134
apr 16,1195718,229634,86547,227200,631690,146887,381620,161727,323089,434611
may 16,1186253,220891,81602,210589,531556,132910,378475,156205,290837,392193
jun 16,1094740,184756,72564,178396,511498,129523,368091,156120,244369,324985
jul 16,987022,201206,70781,213528,568381,134367,371006,176234,229055,328400
aug 16,1001168,194157,72314,226648,559064,137504,366948,171650,233982,360039
sep 16,905208,197362,66854,183944,476118,132246,366030,166273,228906,373539
oct 16,1126914,231715,73542,219350,574325,142517,404907,123722,285003,389166
nov 16,1133326,277388,81542,213100,659411,153742,397252,134969,289650,401294
dec 16,1133309,283357,91237,281976,768501,169929,420433,134145,424484,412621
jan 17,1261174,310631,109466,241922,824480,192005,474406,198841,323681,393022
feb 17,1156662,286725,96231,258936,721246,165432,402277,177744,424828,348466
mar 17,1202314,280238,102580,213068,719736,163646,397460,201049,390247,364538
apr 17,1296830,252838,88741,239956,671374,150228,423275,185476,355960,473097
may 17,1307757,240452,84757,223937,587948,140011,421366,171940,332334,430985
jun 17,1197566,204178,74516,187915,552612,136959,401605,174193,284047,360890
jul 17,1059821,226505,72674,241120,609617,140354,407666,200520,259540,359259
aug 17,1096820,216643,76157,249464,590589,142026,420622,198102,268847,395521
sep 17,1028237,219856,68412,211517,544861,135876,415209,190196,266098,403356
oct 17,1189628,257863,76386,239340,624353,146470,487447,138565,328619,416892
nov 17,1254366,313252,85397,230697,724205,155463,457315,159815,331341,416243
dec 17,1249780,320665,95116,313349,846934,177315,482596,159594,481444,429062
jan 18,1317833,327185,115616,347689,863826,196368,507302,210046,339792,407149
feb 18,1226032,309587,104631,346112,749432,171388,429782,178986,436707,361543
mar 18,1299022,296581,113202,309479,766046,161151,425231,208668,403967,385357
apr 18,1432931,266519,95982,338608,697054,156883,449838,196564,375744,490494
may 18,1391829,248528,91115,309980,610968,142089,446091,172318,340133,449378
jun 18,1237699,217121,83449,268669,590593,140978,422450,176132,296043,379201
